"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM972127","CMS4",0.72460786104874,0.657052855609141,0.685401290580175,0.509633999201657,0.001,0.00128054298642534
"GSM972128","CMS4",0.708111062400565,0.616218328531962,0.737440240114747,0.460366218744972,0.001,0.00128054298642534
"GSM972129","CMS1",0.634411452355926,0.788077775493676,0.653981805488829,0.778475131466792,0.026973026973027,0.0305946558451568
"GSM972130","CMS2",0.797922964213886,0.615187255370178,0.73708036079185,0.824387078228423,0.001,0.00128054298642534
"GSM972131","CMS4",0.703886512897485,0.705206203024805,0.752348446863318,0.372414623822204,0.001,0.00128054298642534
"GSM972132","CMS4",0.741741958944108,0.645544808679603,0.704697968897541,0.495924549321783,0.001,0.00128054298642534
"GSM972133","CMS4",0.663892715380406,0.705569480191771,0.650743953270114,0.471479785704566,0.001,0.00128054298642534
"GSM972134","CMS4",0.735813404363229,0.724997709129941,0.686552434842461,0.678870434144083,0.001,0.00128054298642534
"GSM972135","CMS3",0.746037395279482,0.777384256248997,0.613612659539989,0.86759624425758,0.001,0.00128054298642534
"GSM972136","CMS2",0.791764479698668,0.629882614381104,0.726774376934189,0.765075714014573,0.001,0.00128054298642534
"GSM972137","CMS2",0.802132291754262,0.641498865842181,0.768920049113215,0.758789272160547,0.001,0.00128054298642534
"GSM972138",NA,0.792751100803625,0.707080949197754,0.682607860541754,0.846809771359807,0.0799200799200799,0.0871575438049426
"GSM972139","CMS2",0.83048343664656,0.596567639185218,0.769074973527131,0.796750175699607,0.001,0.00128054298642534
"GSM972140","CMS4",0.665082820880273,0.75745070995863,0.707370819581798,0.487136752694089,0.001,0.00128054298642534
"GSM972141","CMS4",0.750373179711507,0.683906673508971,0.786172683772872,0.573145839636369,0.001,0.00128054298642534
"GSM972142","CMS2",0.84553041141951,0.669554008864438,0.792214242594198,0.771330604479707,0.001,0.00128054298642534
"GSM972143","CMS2",0.803547862123028,0.627133748160042,0.795654204895776,0.652152268916743,0.001,0.00128054298642534
"GSM972144","CMS2",0.796004829174385,0.560233725955228,0.725800749847576,0.739651050486893,0.001,0.00128054298642534
"GSM972145","CMS2",0.764412266839846,0.617731078952354,0.624090636654394,0.7196009148079,0.001,0.00128054298642534
"GSM972146","CMS4",0.652155795635534,0.807892265395061,0.609217835900673,0.590258422220223,0.001,0.00128054298642534
"GSM972147","CMS2",0.718214401582827,0.614084612317158,0.719199320735557,0.70765981190743,0.001,0.00128054298642534
"GSM972148","CMS2",0.794803459724817,0.663636620717585,0.770224501173918,0.719085552000045,0.001,0.00128054298642534
"GSM972149","CMS2",0.764964012252757,0.57697780629959,0.663489658760478,0.73666284372527,0.001,0.00128054298642534
"GSM972150","CMS2",0.774777163945555,0.617817426986108,0.674829392170792,0.717188132350818,0.001,0.00128054298642534
"GSM972151","CMS2",0.815299182354972,0.656035970366531,0.681100052336072,0.833481870962357,0.004995004995005,0.00596449963538571
